name,position,goals,shots
Gelson Martins,MF,11,84
Gen Shoji,DF,0,2
Genki Haraguchi,MF,0,32
Geoff Cameron,DF,0,5
Geoffrey Kondogbia,MF,6,78
Georg Margreitter,DF,2,16
George Baldock,DF,2,27
Georginio Wijnaldum,MF,10,135
Georgios Kyriakopoulos,DF,1,45
Gerard Deulofeu,FW,14,123
Gerard Gumbau,MF,2,35
Gerard Moreno,FW,65,364
Gerard Piqué,DF,7,59
Germán Pezzella,DF,7,99
Germán Sánchez,DF,5,23
Gerrit Holtmann,MF,3,44
Gerson,MF,5,48
Gervinho,FW,23,133
Gerónimo Poblete,MF,0,4
Gerónimo Rulli,GK,0,0
Ghislain Konan,DF,2,11
Giacomo Bonaventura,MF,14,150
Giacomo Raspadori,FW,6,24
Giampaolo Pazzini,FW,8,30
Gian-Luca Waldschmidt,FW,17,138
Giancarlo Gonzalez,DF,0,2
Giangiacomo Magnani,DF,0,15
Gianluca Caprari,FW,16,146
Gianluca Frabotta,DF,0,5
Gianluca Lapadula,FW,25,188
Gianluca Mancini,DF,10,89
Gianluca Scamacca,FW,8,47
Gianluigi Buffon,GK,0,0
Gianluigi Donnarumma,GK,0,0
Gianmarco Ferrari,DF,4,60
Giannelli Imbula,MF,2,54
Gideon Jung,MF,1,7
Gilles Sunu,MF,1,11
Giménez,MF,1,26
Giorgio Chiellini,DF,1,29
Giovani Lo Celso,MF,14,117
Giovanni Di Lorenzo,DF,11,69
Giovanni Simeone,FW,38,301
Giovanni Sio,FW,10,84
Giulio Donati,DF,1,18
Giulio Maggiore,MF,3,40
Giuseppe Di Serio,FW,0,4
Giuseppe Pezzella,DF,1,16
Glenn Murray,FW,26,124
Godfred Donsah,MF,2,24
Gonzalo Castro,MF,6,54
Gonzalo Escalante,MF,6,74
Gonzalo Higuaín,FW,30,232
Gonzalo Melero,MF,11,69
Gonzalo Verdú,DF,0,11
Gonzalo Villar,MF,0,10
Goran Pandev,FW,25,127
Gotoku Sakai,DF,0,20
Grady Diangana,MF,1,24
Granit Xhaka,MF,7,127
Grant Hanley,DF,0,8
Gregoire Defrel,FW,18,103
Gregor Kobel,GK,0,0
Grischa Prömel,MF,3,31
Grzegorz Krychowiak,MF,0,15
Guerrero,DF,4,30
Guessouma Fofana,MF,0,6
Guido Burgstaller,FW,15,135
Guido Carrillo,FW,14,135
Guido Pizarro,MF,1,13
Guido Rodríguez,MF,1,30
Guillermo Maripán,DF,9,46
Gylfi Sigurdsson,MF,25,220
Habib Diallo,FW,21,132
Haitam Aleesami,DF,1,2
Hakan Calhanoglu,FW,22,373
Hakim Ziyech,FW,2,35
Hal Robson-Kanu,FW,4,32
Hamari Traore,DF,1,90
Hamed Junior Traore,MF,11,132
Hamza Choudhury,MF,1,7
Hamza Mendyl,DF,1,10
Hannes Wolf,MF,3,16
Hanno Behrens,MF,4,39
Hans Hateboer,DF,7,99
Haris Belkebla,MF,0,13
Haris Duljevic,MF,0,15
Harold Moukoudi,DF,3,13
Harrison Manzala,FW,4,32
Harrison Reed,MF,0,13
Harry Arter,MF,0,23
Harry Kane,FW,88,505
Harry Maguire,DF,8,126
Harry Wilson,MF,7,56
Harry Winks,MF,1,30
Harvey Barnes,FW,16,157
Hassane Kamara,DF,4,67
Hatem Ben Arfa,MF,9,87
Hendrik Weydandt,FW,6,60
Henrikh Mkhitaryan,FW,28,174
Hernani,MF,7,69
Hernán Pérez,FW,1,15
Hernán Toledo,FW,0,3
Herve Bazile,FW,0,17
Herve Lybohy,DF,2,3
Hichem Boudaoui,MF,3,16
Hidde ter Avest,DF,0,2
Hilton,DF,0,61
Hiroki Sakai,DF,1,14
Hirving Lozano,FW,15,94
Holger Badstuber,DF,2,9
Houboulang Mendes,DF,0,5
Houssem Aouar,MF,23,235
Hugo Guillamón,DF,1,7
Hugo Lloris,GK,0,0
Hugo Mallo,DF,4,73
Håvard Nordtveit,DF,0,6
Héctor Bellerín,DF,4,69
Héctor Herrera,MF,0,21
Héctor Moreno,DF,1,6
Hélder Costa,MF,4,41
Iago,DF,1,9
Iago Aspas,FW,70,299
Iago Falque,FW,18,133
Iago Herrerín,GK,0,0
Ibai Gómez,FW,10,119
Ibrahim Amadou,MF,0,39
Ibrahim Sangare,MF,2,79
Ibrahima Diallo,MF,0,12
Ibrahima Konaté,DF,1,15
Ibrahima Mbaye,DF,3,26
Ibrahima Niane,MF,5,68
Ibrahima Sissoko,MF,3,69
Ibrahima Traoré,FW,0,15
Iddrisu Baba,MF,0,15
Idriss Saadi,FW,4,32
Idrissa Doumbia,MF,0,4
Idrissa Gueye,MF,5,73
Ignacio Pussetto,FW,4,57
Ignasi Miquel,DF,0,10
Ignatius Ganago,FW,12,84
Ignazio Abate,DF,1,5
Igor Zubeldia,MF,2,58
Ihlas Bebou,FW,20,133
Ilija Nestorovski,FW,5,60
Ilkay Gündogan,MF,25,164
Illan Meslier,GK,0,0
Imran Louza,MF,9,71
Ionut Radu,GK,0,0
Irvin Cardona,FW,13,104
Isaac Carcelén,DF,0,11
Isaac Hayden,MF,3,70
Isaac Lihadji,MF,0,4
Isaac Mbenza,FW,9,71
Isco,MF,11,117
Ishak Belfodil,FW,20,134
Islam Slimani,FW,12,71
Ismael Bennacer,MF,1,46
Ismael Boura,DF,0,2
Ismael Diomande,MF,0,9
Ismael Traoré,DF,9,50
Ismail Jakobs,FW,3,40
Ismaila Sarr,FW,18,138
Issa Diop,DF,9,49
Issiaga Sylla,DF,4,61
Iturraspe,MF,0,6
Ivan Ilic,MF,2,12
Ivan Perisic,FW,27,291
Ivan Provedel,GK,0,0
Ivan Radovanovic,MF,1,107
Ivan Rakitic,MF,9,128
Ivan Santini,FW,11,85
Ivan Strinic,DF,0,0
Iván Alejo,FW,2,25
Iván Balliu,DF,0,4
Iván Cuéllar,GK,0,0
Iván Marcone,MF,0,2
Iván Ramis,DF,3,29
Iván Villar,GK,0,0
Iñaki Williams,FW,32,250
Iñigo Córdoba,FW,2,69
Iñigo Martínez,DF,3,88
Iñigo Pérez,MF,2,27
Jack Butland,GK,0,0
Jack Cork,MF,3,56
Jack Grealish,FW,14,123
Jack Harrison,MF,8,46
Jack Stacey,DF,0,5
Jack Stephens,DF,4,30
Jack Wilshere,MF,1,15
Jacob Bruun Larsen,FW,2,26
Jacob Murphy,DF,3,53
Jacob Ramsey,MF,0,11
Jacopo Petriccione,MF,0,21
Jacopo Sala,DF,0,23
Jadon Sancho,FW,37,144
Jagos Vukovic,DF,1,3
Jaime Mata,FW,30,155
Jaime Seoane,MF,1,23
Jairo Izquierdo,MF,1,10
Jairo Riedewald,MF,2,11
Jake Livermore,MF,2,20
Jakob Johansson,MF,1,5
Jakub Jankto,MF,12,162
Jamaal Lascelles,DF,6,48
Jamal Lewis,DF,1,12
Jamal Musiala,FW,6,25
James Justin,DF,2,9
James Maddison,MF,21,232
James McArthur,MF,8,98
James McCarthy,MF,0,13
James McClean,MF,1,30
James Milner,MF,7,69
James Rodríguez,MF,20,114
James Tarkowski,DF,6,84
James Tomkins,DF,5,53
James Ward-Prowse,MF,23,159
Jamie Vardy,FW,76,320
Jamilu Collins,DF,1,19
Jan Bednarek,DF,2,22
Jan Morávek,MF,0,2
Jan Oblak,GK,0,0
Jan Repas,MF,0,17
Jan Thielmann,FW,2,12
Jan Vertonghen,DF,2,43
Janik Haberer,MF,6,80
Jann-Fiete Arp,FW,2,17
Jannes Horn,DF,0,6
Jannik Vestergaard,DF,7,73
Jaromir Zmrhal,MF,2,14
Jarrod Bowen,FW,8,55
Jasmin Kurtic,MF,17,198
Jason,MF,3,70
Jason Denayer,DF,3,25
Jasper Cillessen,GK,0,0
Jaume Costa,DF,1,25
Javairo Dilrosun,MF,6,30
Javi Galán,DF,1,11
Javi López,DF,0,7
Javi Martínez,DF,4,43
Javi Moyano,DF,0,12
Javi Ontiveros,FW,4,84
Javi Puado,FW,0,8
Javi Sánchez,DF,0,3
Javier Manquillo,DF,0,5
Javier Pastore,MF,4,24
Jawad El Yamiq,DF,0,8
Jay Rodriguez,FW,16,167
Jayden Bogle,DF,2,17
Jean Eudes Aholou,MF,7,85
Jean Zimmer,DF,1,19
Jean-Charles Castelletto,DF,2,11
Jean-Clair Todibo,DF,1,7
Jean-Daniel Akpa-Akpro,MF,0,12
Jean-Kevin Augustin,FW,12,50
Jean-Kevin Duverne,DF,1,10
Jean-Louis Leca,GK,0,0
Jean-Manuel Mbom,MF,0,7
Jean-Paul Boëtius,MF,10,112
Jean-Philippe Gbamin,MF,3,61
Jean-Philippe Mateta,FW,24,159
Jean-Ricner Bellegarde,MF,1,42
Jean-Victor Makengo,MF,3,31
Jeff Hendrick,MF,9,77
Jeff Reine-Adelaide,FW,3,38
Jefferson Lerma,MF,3,88
Jeffrey Gouweleeuw,DF,1,28
Jeffrey Schlupp,MF,9,79
Jeison Murillo,DF,3,20
Jemerson,DF,2,25
Jens Jonsson,MF,0,15
Jens Petter Hauge,FW,2,7
Jens Stryger Larsen,DF,5,70
Jerdy Schouten,MF,1,16
Jeremie Boga,FW,18,116
Jeremy Grimm,MF,1,15
Jeremy Le Douaron,FW,1,13
Jeremy Toljan,DF,2,21
Jermain Defoe,FW,4,27
Jerome Hergault,DF,2,4
Jesse Joronen,GK,0,0
Jesse Lingard,MF,22,152
Jessic Ngankam,FW,2,6
Jessy Deminguet,MF,0,7
Jessy Moulin,GK,0,0
Jesús Navas,DF,2,78
Jesús Vallejo,DF,0,1
Jetro Willems,DF,2,40
Jhon Chancellor,DF,3,13
Jhon Córdoba,FW,20,142
Jhonder Cádiz,FW,2,31
Jimmy Briand,FW,26,166
Jimmy Cabot,FW,1,10
Jimmy Durmaz,MF,7,55
Jimmy Giraudon,DF,0,4
Jiri Pavlenka,GK,0,0
Joachim Andersen,DF,2,36
Joakim Maehle,DF,0,21
Joakim Nilsson,DF,0,5
Joan Jordán,MF,13,152
Joaquín,MF,20,100
Joe Allen,MF,2,24
Joe Bennett,DF,0,10
Joe Bryan,DF,1,29
Joe Ralls,MF,0,23
Joe Willock,MF,1,15
Joel Campbell,FW,0,14
Joel Pohjanpalo,MF,6,31
Joel Robles,GK,0,0
Joel Ward,DF,0,12
Joelinton,FW,13,149
Johan Mojica,MF,0,29
Johann Berg Gudmundsson,MF,7,104
Johannes Eggestein,FW,4,34
John Bostock,MF,0,7
John Boye,DF,3,20
John Brooks,DF,5,51
John Egan,DF,2,41
John Fleck,MF,5,48
John Guidetti,FW,5,43
John Lundstram,MF,5,64
John McGinn,MF,6,100
John Stones,DF,4,37
Jon Bautista,FW,1,32
Jon Guridi,MF,0,8
Jon Moncayola,MF,3,51
Jon Morcillo,MF,2,24
Jonas Hector,MF,9,73
Jonas Hofmann,MF,16,104
Jonas Martin,MF,7,47
Jonas Omlin,GK,0,0
Jonathan Bamba,FW,20,135
Jonathan Bamba,MF,7,108
Jonathan Biabiany,FW,0,4
Jonathan Burkardt,FW,2,29
Jonathan Calleri,FW,24,275
Jonathan Clauss,DF,3,34
Jonathan Delaplace,DF,0,6
Jonathan Gradit,DF,0,4
Jonathan Hogg,MF,0,19
Jonathan Panzo,DF,0,5
Jonathan Rivierez,DF,0,8
Jonathan Schmid,DF,10,104
Jonathan Silva,DF,4,42
Jonathan Tah,DF,4,34
Jonathan Viera,MF,4,39
Jonathan de Guzmán,MF,3,33
Jonjo Shelvey,MF,9,152
Jonjoe Kenny,DF,2,15
Jonny Evans,DF,3,19
Jony,MF,5,75
Jonás Ramalho,DF,1,14
Jordan Amavi,DF,1,58
Jordan Ayew,FW,18,176
Jordan Ferri,MF,2,37
Jordan Henderson,MF,7,65
Jordan Ikoko,DF,0,14
Jordan Lefort,DF,0,11
Jordan Lotomba,DF,1,8
Jordan Lukaku,DF,1,6
Jordan Marié,MF,2,46
Jordan Pickford,GK,0,0
Jordan Torunarigha,DF,1,2
Jordan Veretout,MF,29,168
Jordi Alba,DF,9,63
Jordi Amat,DF,0,12
Jordi Masip,GK,0,0
Jordon Ibe,MF,3,63
Jorge,DF,1,7
Jorge De Frutos,MF,4,26
Jorge Meré,DF,1,5
Jorge Miramón,DF,1,32
Jorge Molina,FW,34,177
Jorge Pulido,DF,4,36
Jorginho,MF,15,62
Joris Chotard,MF,0,18
Joris Gnagnon,DF,2,37
Joselu,FW,15,141
Joseph Aidoo,DF,0,19
Joseph Gomez,DF,0,11
Josh Brownhill,MF,0,34
Josh Maja,FW,11,58
Josh Murphy,MF,3,46
Joshua Kimmich,MF,10,96
Joshua King,FW,26,149
Joshua Mees,MF,0,9
Joshua Sargent,FW,9,73
Josip Brekalo,MF,13,115
Josip Drmic,FW,1,14
Josip Ilicic,FW,44,331
Josuha Guilavogui,MF,5,58
José Antonio Martínez,DF,0,2
José Callejón,MF,17,175
José Holebas,DF,3,34
José Izquierdo,MF,5,67
José Luis Palomino,DF,5,39
José Pozo,MF,3,22
Jota,MF,0,16
Jozabed,MF,0,29
João Cancelo,DF,4,87
João Mário,MF,1,16
João Pedro,FW,46,262
Joël Veltman,DF,1,14
Juan Bernat,DF,1,11
Juan Carlos,MF,0,5
Juan Cuadrado,MF,9,83
Juan Ferney Otero,FW,3,73
Juan Foyth,DF,0,1
Juan Jesus,DF,1,3
Juan Mata,MF,6,57
Juan Miranda,DF,1,10
Juan Musso,GK,0,0
Juanfran,DF,0,24
Juanmi,FW,10,51
Juanpe,DF,5,45
Jude Bellingham,MF,1,33
Jules Iloki,MF,0,11
Jules Koundé,DF,5,67
Julian Baumgartlinger,MF,5,45
Julian Brandt,MF,22,164
Julian Chabot,DF,1,9
Julian Draxler,MF,11,65
Julian Korb,DF,1,10
Julian Ryerson,DF,0,6
Julian Schuster,DF,0,12
Julian Weigl,MF,2,8
Julien Faussurier,DF,2,15
Julien Féret,MF,0,27
Julien Laporte,DF,0,8
Juninho Bacuna,MF,1,19
Junior Alonso,DF,2,16
Junior Messias,MF,9,99
Junior Stanislas,MF,10,95
Juraj Kucka,MF,17,134
Justin Kluivert,FW,8,73
Jéremy Doku,MF,2,36
Jérémy Morel,DF,1,20
Jérémy Sorbon,DF,1,10
Jérôme Boateng,DF,2,41
Jérôme Gondorf,MF,3,39
Jérôme Roussillon,DF,7,69
Júnior Firpo,DF,4,23
Jürgen Locadia,FW,2,28
Kaan Ayhan,DF,6,57
Kader Mangane,DF,1,15
Kai Havertz,MF,36,215
Kai Pröger,MF,2,51
Kaj Sierhuis,FW,0,14
Kalidou Koulibaly,DF,7,61
Kalidou Sidibe,MF,1,4
Kalifa Coulibaly,FW,15,123
Kalvin Phillips,MF,1,15
Kamil Glik,DF,7,79
Karim Azamoum,MF,1,23
Karim Bellarabi,FW,10,170
Karim Benzema,FW,70,414
Karim Onisiwo,FW,15,135
Karim Rekik,DF,2,14
Karl Darlow,GK,0,0
Karl Toko Ekambi,FW,47,291
Karl-Johan Johnsson,GK,0,0
Karol Linetty,MF,11,99
Kasper Dolberg,FW,17,79
Kasper Schmeichel,GK,0,2
Kastriot Dermaku,DF,0,3
Keagan Dolly,FW,1,27
Keinan Davis,FW,1,26
Keita Endo,MF,1,8
Kelechi Iheanacho,FW,21,142
Kelyan Guessoum,DF,0,6
Ken Sema,DF,3,29
Kenan Karaman,FW,10,70
Kenedy,FW,6,82
Kenneth Omeruo,DF,1,7
Kenneth Zohore,FW,1,17
Kenny Lala,DF,13,69
Kenny McLean,MF,1,30
Kenny Tete,DF,1,21
Kepa,GK,0,0
Kerem Demirbay,MF,11,156
Keven Schlotterbeck,DF,0,19
Kevin Agudelo,FW,1,19
Kevin Akpoguma,DF,1,9
Kevin Bonifazi,DF,2,28
Kevin Danso,DF,3,19
Kevin De Bruyne,MF,30,305
Kevin Gameiro,FW,23,91
Kevin Kampl,MF,3,77
Kevin Lasagna,FW,32,286
Kevin Long,DF,1,10
Kevin Malcuit,DF,0,22
Kevin Mbabu,DF,3,22
Kevin McDonald,MF,0,4
Kevin Mirallas,FW,2,29
Kevin Möhwald,MF,8,43
Kevin Strootman,MF,4,55
Kevin Stöger,MF,4,63
Kevin Trapp,GK,0,0
Kevin Vogt,DF,0,9
Kevin Volland,FW,54,275
Kevin Wimmer,DF,0,4
Kevin-Prince Boateng,MF,6,44
Keylor Navas,GK,0,0
Ki Sung-yueng,MF,2,28
Kieran Gibbs,DF,0,9
Kieran Tierney,DF,2,21
Kieran Trippier,DF,1,21
Kike Barja,MF,2,22
Kike Pérez,MF,0,15
Kiko Femenía,DF,2,20
Kiko Olivas,DF,2,14
Kingsley Coman,FW,18,150
Kingsley Ehizibue,DF,1,21
Klaus Gjasula,MF,2,14
Koen Casteels,GK,0,0
Koffi Djidji,DF,1,6
Koke,MF,12,90
Konrad Laimer,MF,3,29
Konstantinos Mavropanos,DF,0,16
Koray Günter,DF,0,12
Kortney Hause,DF,1,20
Kostas Manolas,DF,7,50
Kostas Mitroglou,FW,9,44
Krzysztof Piatek,FW,37,233
Kurt Zouma,DF,8,81
Kwadwo Asamoah,DF,0,16
Kwon Chang-Hoon,MF,15,102
Kyle Bartley,DF,3,14
Kyle Naughton,DF,0,12
Kyle Walker,DF,3,58
Kyle Walker-Peters,DF,0,18
Kyriakos Papadopoulos,DF,1,23
Kévin Monnet-Paquet,FW,3,53
Kévin Rodrigues,DF,3,48
Kévin Théophile-Catherine,DF,0,4
Kévin Zohi,FW,4,48
Lacina Traoré,FW,0,11
Ladislav Krejci,MF,0,9
Lamine Fomba,MF,1,38
Lamine Gueye,FW,3,40
Lamine Koné,DF,3,22
Landry Dimata,FW,0,12
Lars Bender,DF,5,49
Lars Stindl,MF,32,195
Lassana Coulibaly,MF,2,29
Lasse Schöne,MF,2,35
Laurent Abergel,MF,3,29
Laurent Depoitre,FW,6,54
Laurent Jans,DF,0,8
Laurent Koscielny,DF,5,23
Lautaro Martínez,FW,37,299
Layvin Kurzawa,DF,4,38
Leander Dendoncker,MF,7,68
Leandro Barreiro Martins,MF,2,41
Leandro Cabrera,DF,2,22
Leandro Cabrera,DF,2,11
Leandro Chichizola,GK,0,0
Leandro Paredes,MF,2,55
Leandro Trossard,FW,10,99
Lebo Mothiba,FW,14,64
Lebogang Phiri,MF,0,18
Ledian Memushaj,MF,0,18
Lee Kang-In,FW,2,36
Lee Peltier,DF,0,1
Leighton Baines,DF,2,7
Lennart Czyborra,DF,1,5
Leo Stulac,MF,0,22
Leon Bailey,FW,28,219
Leon Goretzka,MF,23,182
Leonardo Balerdi,DF,2,13
Leonardo Bittencourt,MF,10,98
Leonardo Bonucci,DF,10,77
Leonardo Pavoletti,FW,31,215
Leonardo Spinazzola,DF,3,45
Leopold Zingerle,GK,0,0
Leroy Fer,MF,1,12
Leroy Sané,FW,26,169
Levin Öztunali,MF,5,83
Lewis Cook,MF,0,27
Lewis Dunk,DF,11,110
Lewis Holtby,MF,6,22
Liam Cooper,DF,1,15
Linton Maina,MF,1,21
Lionel Carole,DF,0,16
Lionel Messi,FW,125,720
Lisandro Magallán,DF,2,14
Loic Bade,DF,0,11
Loic Perrin,DF,1,30
Lois Diony,FW,10,84
Loren Morón,FW,24,163
Lorenzo Ariaudo,DF,0,6
Lorenzo De Silvestri,DF,9,85
Lorenzo Insigne,FW,45,561
Lorenzo Montipò,GK,0,0
Lorenzo Pellegrini,MF,15,210
Lorenzo Tonelli,DF,2,20
Lorenzo Venuti,DF,0,13
Loris Benito,DF,1,20
Loris Karius,GK,0,0
Loïck Landre,DF,4,16
Luca Caldirola,DF,2,7
Luca Ceppitelli,DF,6,39
Luca Cigarini,MF,0,19
Luca Cigarini,MF,2,29
Luca Kilian,DF,0,1
Luca Marrone,DF,0,4
Luca Mazzitelli,MF,0,14
Luca Mora,MF,0,5
Luca Pellegrini,DF,0,16
Luca Rigoni,MF,4,36
Luca Rossettini,DF,0,19
Luca Sangalli,MF,1,11
Luca Siligardi,FW,1,37
Luca Valzania,MF,2,21
Luca Vignali,DF,0,4
Lucas Alario,FW,36,190
Lucas Biglia,MF,2,28
Lucas Boyé,FW,7,58
Lucas Castro,MF,3,39
Lucas Deaux,MF,8,63
Lucas Digne,DF,4,76
Lucas Hernández,DF,0,15
Lucas Höler,FW,16,122
Lucas Leiva,MF,2,49
Lucas Martínez Quarta,DF,1,17
Lucas Moura,FW,10,45
Lucas Ocampos,FW,32,278
Lucas Olaza,DF,1,18
Lucas Pérez,FW,26,143
Lucas Torreira,MF,8,82
Lucas Torró,MF,0,17
Lucas Tousart,MF,1,70
Lucas Vázquez,FW,9,88
Luciano Narsingh,FW,1,9
Luciano Vietto,FW,1,24
Ludovic Ajorque,FW,33,165
Ludovic Baal,DF,0,0
Ludovic Blas,MF,18,155
Ludovic Blas,MF,1,42
Ludovic Butelle,GK,0,1
Ludwig Augustinsson,DF,2,61
Luigi Sepe,GK,0,0
Luis Advíncula,DF,1,17
Luis Alberto,MF,30,316
Luis Hernández,DF,0,5
Luis Milla,MF,1,10
Luis Muriel,FW,53,267
Luis Pérez,DF,0,2
Luis Rioja,MF,4,33
Luis Suárez,FW,21,112
Luis Suárez,FW,46,247
Luiz Araujo,FW,14,145
Luka Jovic,FW,31,172
Luka Milivojevic,MF,26,149
Luka Modric,MF,12,147
Lukas Klostermann,DF,10,48
Lukas Klünter,DF,1,19
Lukas Kübler,DF,0,12
Lukas Lerager,MF,4,71
Lukas Mühl,DF,1,12
Lukas Rupp,MF,3,16
Lukasz Fabianski,GK,0,0
Lukasz Piszczek,DF,2,40
Lukasz Skorupski,GK,0,0
Lukasz Teodorczyk,FW,1,13
Luke Ayling,DF,0,24
Luke Shaw,DF,2,43
Lumor Agbenyenu,DF,1,14
Luuk de Jong,FW,10,89
Lyanco,DF,1,25
Lys Mousset,FW,9,71
László Bénes,MF,0,23
Léo Dubois,DF,6,88
Mads Pedersen,DF,0,1
Mahdi Camara,MF,3,23
Mahmoud Dahoud,MF,1,42
Makoto Hasebe,DF,0,6
Malang Sarr,DF,2,20
Malcom,FW,13,86
Malick Thiaw,DF,1,8
Malik Tchokounte,FW,0,22
Mamadou Fofana,MF,0,14
Mamadou Sakho,DF,1,7
Mamadou Samassa,GK,0,0
Manolo Gabbiadini,FW,23,167
Manolo Reina,GK,0,0
Manu García,MF,4,102
Manu Trigueros,MF,6,102
Manu Vallejo,FW,5,19
Manuel Akanji,DF,3,35
Manuel Gulde,DF,5,38
Manuel Iturra,MF,0,2
Manuel Lanzini,MF,6,79
Manuel Lazzari,MF,4,95
Manuel Locatelli,MF,6,115
Manuel Neuer,GK,0,0
Manuel Pasqual,DF,1,8
Manuel Prietl,MF,1,18
Manuel Pucciarelli,FW,2,26
Manuel Sánchez,DF,0,3
Marash Kumbulla,DF,2,15
Marc Albrighton,DF,5,70
Marc Bartra,DF,5,54
Marc Cardona,FW,4,29
Marc Cucurella,MF,5,77
Marc Muniesa,DF,0,7
Marc Navarro,DF,1,20
Marc Pugh,MF,0,19
Marc Roca,MF,3,55
Marc-André ter Stegen,GK,0,1
Marc-Aurele Caillard,GK,0,0
Marc-Oliver Kempf,DF,4,32
Marcel Büchel,MF,0,9
Marcel Halstenberg,DF,10,93
Marcel Hartel,MF,0,21
Marcel Heller,FW,0,11
Marcel Risse,DF,1,18
Marcel Sabitzer,MF,24,254
Marcel Schmelzer,DF,0,5
Marcel Sobottka,MF,0,7
Marcel Tisserand,DF,1,14
Marcello Gazzola,DF,1,2
Marcello Trotta,FW,7,65
Marcelo,DF,11,177
Marcelo Brozovic,MF,11,150
Marcin Kaminski,DF,0,12
Marco Andreolli,DF,0,3
Marco Asensio,FW,12,140
Marco Benassi,MF,13,149
Marco Borriello,FW,1,12
Marco Calderoni,DF,3,23
Marco Capuano,DF,0,10
Marco Fossati,MF,0,9
Marco Friedl,DF,1,19
Marco Höger,MF,0,10
Marco Mancosu,MF,14,85
Marco Parolo,MF,9,137
Marco Reus,MF,36,172
Marco Richter,MF,11,174
Marco Russ,DF,1,7
Marco Sau,MF,7,45
Marco Silvestri,GK,0,0
Marco Sportiello,GK,0,0
Marco Stiepermann,MF,0,19
Marco Terrazzino,MF,0,24
Marco Verratti,MF,0,23
Marcos Acuña,DF,1,18
Marcos Alonso,DF,13,140
Marcos Llorente,MF,15,63
Marcus Coco,FW,3,67
Marcus Ingvartsen,MF,8,83
Marcus Rashford,FW,45,320
Marcus Rohden,MF,2,21
Marcus Thuram,FW,30,230
Marek Hamsik,MF,7,86
Mario Gomez,FW,16,108
Mario Götze,FW,12,59
Mario Hermoso,DF,4,45
Mario Lemina,MF,3,67
Mario Mandzukic,FW,14,82
Mario Pasalic,MF,20,114
Mario Sampirisi,DF,0,3
Mario Vrancic,MF,1,14
Marius Bülter,MF,8,58
Marius Wolf,FW,9,97
Mariusz Stepinski,FW,11,79
Mark Noble,MF,13,50
Mark Uth,MF,24,181
Markel Bergara,MF,4,16
Markel Susaeta,FW,4,42
Marko Arnautovic,FW,21,133
Marko Dmitrovic,GK,1,4
Marko Grujic,MF,9,82
Marko Pjaca,FW,4,48
Marko Rog,FW,2,35
Markus Suttner,DF,0,15
Marlon Santos,DF,1,14
Marouane Fellaini,MF,4,10
Marquinhos,DF,9,52
Marshall Munetsi,MF,1,16
Marten de Roon,MF,8,103
Martin Braithwaite,FW,6,52
Martin Dubravka,GK,0,0
Martin Erlic,DF,3,9
Martin Harnik,FW,13,77
Martin Hinteregger,DF,13,123
Martin Kelly,FW,0,7
Martin Terrier,FW,19,100
Martin Valjent,DF,0,15
Martín Aguirregabiria,DF,1,9
Martín Cáceres,DF,3,27
Martín Montoya,DF,0,24
Martín Zubimendi,MF,0,7
Marvelous Nakamba,MF,0,7
Marvin Bakalorz,MF,1,32
Marvin Ducksch,FW,1,18
Marvin Friedrich,DF,7,53
Marvin Plattenhardt,DF,1,36
Marvin Zeegelaar,DF,1,9
Marwin Hitz,GK,0,1
Mason Greenwood,FW,17,106
Mason Holgate,DF,1,22
Mason Mount,MF,13,160
Massadio Haidara,DF,2,12
Massimo Coda,FW,4,59
Massimo Gobbi,DF,0,9
Mat Ryan,GK,0,0
Matej Vydra,FW,5,53
Mateo Klimowicz,FW,1,33
Mateo Kovacic,MF,1,81
Mateo Musacchio,DF,1,20
Mateo Pavlovic,DF,4,36
Mateusz Klich,MF,4,36
Matheus Cunha,FW,7,70
Mathew Leckie,FW,7,47
Mathias Autret,MF,2,27
Mathieu Bodmer,MF,1,13
Mathieu Cafaro,MF,11,131
Mathieu Debuchy,DF,11,72
Mathieu Deplagne,DF,0,5
Mathieu Dossevi,FW,2,56
Mathías Olivera,DF,0,25
Matija Nastasic,DF,1,48
Mato Jajalo,MF,0,16
Mats Hummels,DF,8,98
Matt Doherty,DF,8,83
Matt Phillips,MF,4,50
Matt Ritchie,DF,7,136
Matt Targett,DF,2,24
Matteo Ahlinvi,MF,2,12
Matteo Darmian,DF,4,17
Matteo Guendouzi,MF,2,44
Matteo Lovato,DF,0,1
Matteo Pessina,MF,9,52
Matteo Politano,FW,26,275
Matteo Ricci,MF,0,21
Matteo Scozzarella,MF,0,12
Matthew Cash,DF,0,9
Matthew Hoppe,FW,6,20
Matthew Lowton,DF,1,29
Matthias Ginter,DF,10,89
Matthias Lehmann,MF,0,12
Matthias Ostrzolek,DF,0,21
Matthias Zimmermann,DF,2,31
Matthieu Dreyer,GK,0,0
Matthieu Udol,DF,0,13
Matthijs de Ligt,DF,5,37
Mattia Bani,DF,4,43
Mattia Caldara,DF,3,11
Mattia De Sciglio,DF,0,10
Mattia Destro,FW,21,90
Mattia Perin,GK,0,0
Mattia Sprocati,FW,2,24
Mattia Valoti,MF,8,72
Mattia Zaccagni,MF,8,58
Mattias Svanberg,MF,6,118
Matz Sels,GK,0,0
Matías Aguirregaray,DF,0,9
Matías Silvestre,DF,3,28
Matías Vargas,FW,0,21
Matías Vecino,MF,8,112
